x,y,z,Ni
243509.0,1717545.0,400.5,1.4
243509.0,1717545.0,397.5,1.4
243509.0,1717545.0,394.5,1.4
243509.0,1717595.0,390.8,2.01
243509.0,1717595.0,387.8,2.03
243509.0,1717595.0,384.8,2.03
243509.0,1717620.0,396.7,1.88
243509.0,1717620.0,393.7,1.94
243509.0,1717620.0,390.7,1.94
243509.0,1717645.0,396.9,1.63
243509.0,1717645.0,393.9,1.596667
243509.0,1717645.0,390.9,1.58
243509.0,1717645.0,387.9,1.58
243509.0,1717645.0,384.9,1.58
243509.0,1717695.0,411.3,1.66
243509.0,1717695.0,408.3,1.64
243509.0,1717695.0,405.3,1.63
243509.0,1717745.0,395.4,1.99
243509.0,1717745.0,392.4,2.03
243509.0,1717795.0,413.5,2.153333
243509.0,1717795.0,410.5,2.08
243509.0,1717845.0,414.4,2.003333
243509.0,1717845.0,411.4,2.43
243509.0,1717845.0,408.4,2.43
243509.0,1717895.0,406,1.92
243509.0,1717895.0,403,2.17
243509.0,1717895.0,400,2.17
243509.0,1717895.0,397,2.17
243509.0,1717945.0,411,1.83
243509.0,1717945.0,408,2.55
243509.0,1717945.0,405,2.55
243509.0,1717945.0,402,2.55
243509.0,1717945.0,399,2.55
243484.0,1717595.0,390.2,2.67
243484.0,1717595.0,387.2,3.03
243484.0,1717595.0,384.2,3.03
243484.0,1717595.0,381.2,3.03
243484.0,1717595.0,378.2,3.03
243484.0,1717620.0,395.8,2.096667
243484.0,1717620.0,392.8,2.23
243484.0,1717620.0,389.8,2.23
243484.0,1717645.0,399.3,2.156667
243484.0,1717645.0,396.3,2.03
243484.0,1717645.0,393.3,2.03
243484.0,1717645.0,390.3,2.03
243484.0,1717670.0,410.4,1.433333
243484.0,1717670.0,407.4,1.66
243484.0,1717695.0,410.1,2.393333
243484.0,1717695.0,407.1,2.51
243484.0,1717720.0,397.5,1.91
243484.0,1717720.0,394.5,1.97
243484.0,1717720.0,391.5,2
243484.0,1717745.0,403.3,2.223333
243484.0,1717745.0,400.3,2.21
243484.0,1717770.0,405.5,1.993333
243484.0,1717770.0,402.5,2.2
243484.0,1717770.0,399.5,2.2
243484.0,1717770.0,396.5,2.2
243484.0,1717795.0,411.7,1.706667
243484.0,1717795.0,408.7,1.74
243484.0,1717820.0,409.7,2.176666
243484.0,1717820.0,406.7,2.59
243484.0,1717820.0,403.7,2.59
243484.0,1717820.0,400.7,2.59
243484.0,1717845.0,405.6,1.98
243484.0,1717845.0,402.6,2.51
243484.0,1717870.0,400.8,2.13
243484.0,1717920.0,401.9,1.37
243472.0,1717558.0,391.1,1.31
243472.0,1717583.0,391.1,2.423333
243472.0,1717583.0,388.1,2.95
243472.0,1717607.0,394.1,2.266667
243472.0,1717632.0,398.8,1.765
243472.0,1717632.0,395.8,1.93
243472.0,1717658.0,407.4,2.27
243472.0,1717658.0,404.4,2.05
243472.0,1717707.0,403.5,1.84
243472.0,1717707.0,400.5,1.76
243459.0,1717595.0,395,1.83
243459.0,1717595.0,392,1.83
243459.0,1717595.0,389,1.83
243459.0,1717595.0,386,1.83
243459.0,1717595.0,383,1.83
243459.0,1717595.0,380,1.73
243384.7,1717770.5,389.6199996,2.1806
243384.7,1717770.5,386.6199986,2.36
243384.7,1717770.5,383.6200005,2.36
243384.7,1717770.5,380.6200005,2.36
243384.7,1717770.5,377.6200005,2.36
243410.1,1717793.8,396.18,2.56
243410.1,1717793.8,393.18,2.95
243410.1,1717793.8,390.18,2.95
243410.1,1717793.8,387.18,2.95
243447.0,1717582.0,393.3499999,2.72
243447.0,1717582.0,390.3499999,2.72
243447.0,1717582.0,387.3500004,2.72
243447.0,1717582.0,384.3500004,2.72
243433.6,1717818.8,397.13,2.36
243433.6,1717818.8,394.13,2.47
243433.6,1717818.8,391.13,2.69
243433.6,1717818.8,388.13,2.69
243435.1,1717869.9,400.2000004,1.896
243435.1,1717869.9,397.2000004,1.98
243435.1,1717869.9,394.2000004,1.98
243435.1,1717869.9,391.2000004,1.98
243435.1,1717869.9,388.2000004,1.98
243435.1,1717869.9,385.2000004,1.98
243495.4,1717905.7,401.5800003,1.85
243495.4,1717905.7,398.5800003,1.85
243497.0,1717708.0,386.1399998,2.259
243497.0,1717708.0,383.1399998,2.63
