X,Y,Z
243426.841,1717574.588,400.372
243426.841,1717577.088,400.372
243429.341,1717569.588,395.372
243429.341,1717569.588,397.872
243429.341,1717572.088,395.372
243429.341,1717572.088,397.872
243431.841,1717569.588,395.372
243431.841,1717569.588,397.872
243431.841,1717572.088,395.372
243431.841,1717572.088,397.872
243429.341,1717574.588,395.372
243429.341,1717574.588,397.872
243429.341,1717577.088,395.372
243429.341,1717577.088,397.872
243431.841,1717574.588,395.372
243431.841,1717574.588,397.872
243431.841,1717577.088,395.372
243431.841,1717577.088,397.872
243424.341,1717579.588,395.372
243424.341,1717579.588,397.872
243424.341,1717582.088,395.372
243424.341,1717582.088,397.872
243426.841,1717579.588,395.372
243426.841,1717579.588,397.872
243426.841,1717582.088,395.372
243426.841,1717582.088,397.872
243424.341,1717579.588,400.372
243424.341,1717582.088,400.372
243426.841,1717579.588,400.372
243426.841,1717582.088,400.372
243424.341,1717584.588,395.372
243424.341,1717584.588,397.872
243424.341,1717587.088,395.372
243424.341,1717587.088,397.872
243426.841,1717584.588,395.372
243426.841,1717584.588,397.872
243426.841,1717587.088,395.372
243426.841,1717587.088,397.872
243424.341,1717584.588,400.372
243424.341,1717587.088,400.372
243426.841,1717584.588,400.372
243426.841,1717587.088,400.372
243429.341,1717579.588,395.372
243429.341,1717579.588,397.872
243429.341,1717582.088,395.372
243429.341,1717582.088,397.872
243431.841,1717579.588,395.372
243431.841,1717579.588,397.872
243431.841,1717582.088,395.372
243431.841,1717582.088,397.872
243429.341,1717582.088,400.372
243429.341,1717584.588,395.372
243429.341,1717584.588,397.872
243429.341,1717587.088,395.372
243429.341,1717587.088,397.872
243431.841,1717584.588,395.372
243431.841,1717584.588,397.872
243431.841,1717587.088,395.372
243431.841,1717587.088,397.872
243429.341,1717584.588,400.372
243429.341,1717587.088,400.372
243431.841,1717587.088,400.372
243416.841,1717597.088,392.872
243419.341,1717589.588,392.872
243419.341,1717592.088,392.872
243421.841,1717589.588,390.372
243421.841,1717589.588,392.872
243421.841,1717592.088,390.372
243421.841,1717592.088,392.872
243419.341,1717594.588,392.872
243419.341,1717597.088,392.872
243421.841,1717594.588,392.872
243421.841,1717597.088,392.872
243414.341,1717599.588,392.872
243416.841,1717599.588,392.872
243416.841,1717602.088,392.872
243414.341,1717607.088,392.872
243419.341,1717599.588,392.872
243419.341,1717602.088,392.872
243421.841,1717599.588,392.872
243421.841,1717602.088,392.872
243424.341,1717589.588,390.372
243424.341,1717589.588,392.872
243424.341,1717592.088,390.372
243424.341,1717592.088,392.872
243426.841,1717589.588,390.372
243426.841,1717589.588,392.872
243426.841,1717592.088,390.372
243426.841,1717592.088,392.872
243424.341,1717594.588,392.872
243424.341,1717597.088,392.872
243426.841,1717594.588,390.372
243426.841,1717594.588,392.872
243426.841,1717597.088,392.872
243431.841,1717589.588,387.872
243429.341,1717589.588,390.372
243429.341,1717589.588,392.872
243429.341,1717592.088,390.372
243429.341,1717592.088,392.872
243431.841,1717589.588,390.372
243431.841,1717589.588,392.872
243431.841,1717592.088,390.372
243431.841,1717592.088,392.872
243429.341,1717594.588,390.372
243429.341,1717594.588,392.872
243429.341,1717597.088,392.872
243431.841,1717594.588,390.372
243431.841,1717594.588,392.872
243431.841,1717597.088,390.372
243431.841,1717597.088,392.872
243424.341,1717599.588,392.872
243424.341,1717602.088,392.872
243426.841,1717599.588,392.872
243426.841,1717602.088,392.872
243424.341,1717604.588,392.872
243426.841,1717604.588,392.872
243429.341,1717599.588,392.872
243429.341,1717602.088,392.872
243431.841,1717599.588,392.872
243431.841,1717602.088,392.872
243429.341,1717604.588,392.872
243429.341,1717607.088,392.872
243431.841,1717604.588,392.872
243431.841,1717607.088,392.872
243416.841,1717592.088,395.372
243416.841,1717592.088,397.872
243416.841,1717594.588,395.372
243416.841,1717594.588,397.872
243416.841,1717597.088,395.372
243416.841,1717597.088,397.872
243416.841,1717594.588,400.372
243416.841,1717594.588,402.872
243416.841,1717597.088,400.372
243416.841,1717597.088,402.872
243419.341,1717589.588,395.372
243419.341,1717589.588,397.872
243419.341,1717592.088,395.372
243419.341,1717592.088,397.872
243421.841,1717589.588,395.372
243421.841,1717589.588,397.872
243421.841,1717592.088,395.372
243421.841,1717592.088,397.872
243419.341,1717589.588,400.372
243419.341,1717592.088,400.372
243419.341,1717592.088,402.872
243421.841,1717589.588,400.372
243421.841,1717592.088,400.372
243421.841,1717592.088,402.872
243419.341,1717594.588,395.372
243419.341,1717594.588,397.872
243419.341,1717597.088,395.372
243419.341,1717597.088,397.872
243421.841,1717594.588,395.372
243421.841,1717594.588,397.872
243421.841,1717597.088,395.372
243421.841,1717597.088,397.872
243419.341,1717594.588,400.372
243419.341,1717594.588,402.872
243419.341,1717597.088,400.372
243419.341,1717597.088,402.872
243421.841,1717594.588,400.372
243421.841,1717594.588,402.872
243421.841,1717597.088,400.372
243421.841,1717597.088,402.872
243414.341,1717599.588,395.372
243414.341,1717599.588,397.872
243414.341,1717602.088,395.372
243414.341,1717602.088,397.872
243416.841,1717599.588,395.372
243416.841,1717599.588,397.872
243416.841,1717602.088,395.372
243416.841,1717602.088,397.872
